name,osclevela,osclevelb,pinknoiselevel,whitenoiselevel,unisonmode,oscfx,detune,lfosyncfreq,lfotempovalue, KeytrackingAmount,glideSpeed,oscPitchA,oscPitchB,WaveformA,WaveformB,PwmSource,PwmAmtA,PwmAmtB,PwmRate,PwA,PwB,Resonance,Cutoff,FilterMixer,FilterEnvelope,PitchLfoAmount,PitchLfoRate,PitchLfoWaveform,PitchLfoRetrig,PitchLfoMidiClockSync,FilterLfoRate,FilterLfoRetrig,FilterLfoMidiClockSync,FilterLfoAmt,FilterLfoWaveform,FilterAttack,FilterDecay,FilterSustain,FilterRelease,AmpAttack,AmpDecay,AmpSustain,AmpRelease,EffectAmount,EffectMix,PitchEnvelope,velocitySens,chordDetune,MonophonicMode,0,0
Thick Saw,0.94,1.00,0.00,1,0,0.96,1.00,0.00,1.00,0.69,0.00,-24,-24,9,9,0,0.49,0.61,6.97,0.00,0.18,1.10,12000.00,0.00,1.00,0.00,7.52,7,0,0,14.32,0,0,0.00,3,1.00,843.00,0.36,1031.00,1.00,1448.00,1.00,991.00,10.00,0.65,0.00,3.00,0.00,0.00,0.00,0.00
303,1.00,0.00,0.02,0,0,0.99,2.37,422.00,1.00,0.64,0.00,-24,-24,9,11,0,0.58,1.00,0.00,0.00,0.00,15.00,621.00,0.00,0.23,0.00,6.20,0,0,0,2.22,0,0,0.00,2,1.00,78.00,0.00,58.00,1.00,49.00,1.00,41.00,7.50,0.29,0.00,4.00,0.00,0.00,0.00,0.00
Elec Bass,1.00,1.00,0.00,1,0,0.99,1.00,0.00,1.00,0.57,0.00,-24,-24,8,8,1,1.00,1.00,-5.00,0.00,0.00,1.10,12000.00,0.00,-0.04,0.00,24.80,6,0,0,0.01,0,0,0.00,0,1.00,680.00,0.47,1994.00,1.00,650.00,0.00,513.00,3.00,0.05,0.00,4.00,0.00,0.00,0.00,0.00
Poland,0.52,1.00,0.00,1,0,0.98,1.00,0.00,1.00,0.50,0.00,-24,-24,9,9,1,1.00,1.00,-5.00,0.00,0.00,2.55,187.00,0.00,0.82,0.00,9.52,7,0,0,8.04,0,0,0.00,6,1.00,3410.00,0.06,774.00,1.00,513.00,0.94,3634.00,12.50,0.59,0.00,0,70,0.00,0.00,0.00
Kick Drum,0.00,1.00,-1.00,1,0,0.94,2.00,422.00,1.00,0.64,0.00,-24,24,19,7,0,0.85,0.81,0.80,0.00,0.00,15.00,23.00,0.00,1.00,0.00,6.96,0,0,0,2.22,0,0,0.00,2,1.00,4.00,0.00,33.00,2.00,276.00,0.00,41.00,7.50,0.00,1.00,4,0.00,0.00,0.00,0.00
Piz,1.00,1.00,0.00,0,0,0.98,1.00,0.00,1.00,0.50,0.00,12,12,11,11,0,0.63,0.57,0.27,0.00,0.00,2.21,186.00,0.00,0.78,0.00,0.00,0,0,0,8.92,0,0,0.00,6,1.00,99.00,0.00,258.00,1.00,78.00,0.20,395.00,11.20,0.06,0.00,2,0.00,0.00,0.00,0.00
Tippr Twistr,1.00,1.00,0.00,1,0,0.98,1.00,0.00,0.33,0.50,0.00,-24,-24,12,12,1,1.00,0.97,-5.00,0.00,0.00,5.33,319.00,0.00,0.83,0.00,1.68,0,0,0,10.48,0,0,0.00,7,1202.00,1676.00,0.95,4708.00,1.00,1448.00,1.00,5888.00,12.10,0.17,0.00,0,0,0.00,0.00,0.00
Chung Kuo,0.98,1.00,1.00,1,0,0.99,1.00,0.00,1.00,0.47,0.00,12,-11,19,7,0,0.83,0.70,0.16,0.00,0.00,1.10,1110.00,0.00,0.00,0.00,40.00,7,0,0,8.36,0,0,1.00,6,4.00,1448.00,0.22,1864.00,41.00,808.00,0.92,991.00,5.60,0.83,0.00,0.00,0.00,0.00,0.00,0.00
Big Bass,1.00,1.00,0.00,1,0,0.99,1.00,0.00,1.00,0.65,0.00,-24,-24,8,12,0,1.00,0.00,0.00,0.00,0.00,1.10,20.00,0.00,1.00,0.00,5.72,0,0,0,6.72,0,0,0.00,1,1.00,374.00,0.20,295.00,1.00,241.00,1.00,1502.00,14.80,0.24,0.00,0,0.00,0.00,0.00,0.00
Kick Drum 2,1.00,0.00,-1.00,1,1,1.00,1.00,0.00,1.00,0.71,0.00,-24,-24,19,19,0,1.00,0.93,0.56,0.00,0.00,15.00,20.00,-99.00,0.98,0.00,17.48,0,0,0,0.00,0,0,0.00,0,1.00,1.00,0.00,67.00,1.00,124.00,0.00,2.00,0.20,0.25,-0.27,4,0,0.00,0.00,0.00
